,circuity_avg,clean_intersection_count,clean_intersection_density_km,edge_density_km,edge_length_avg,edge_length_total,intersection_count,intersection_density_km,k_avg,m,n,node_density_km,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion
0,1.0336353569894994,15,203.84131073111533,37087.45883008917,68.22855,2729.142,18,244.6095728773384,4.444444444444445,40,18,244.6095728773384,0.0,18543.729415044585,68.22855000000001,1364.5710000000001,20,3.2222222222222223,"{0: 0, 1: 0, 2: 0, 3: 14, 4: 4}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.7777777777777778, 4: 0.2222222222222222}"
1,1.04094469079398,23,151.67654399671846,41910.66252562962,78.46011111111113,6355.269000000001,32,211.02823512586917,4.378378378378378,81,37,244.00139686428622,0.0,22345.509437552035,77.00997727272728,3388.4390000000003,44,2.810810810810811,"{0: 0, 1: 5, 2: 0, 3: 30, 4: 1, 5: 1}","{0: 0.0, 1: 0.13513513513513514, 2: 0.0, 3: 0.8108108108108109, 4: 0.02702702702702703, 5: 0.02702702702702703}"
2,1.0375651767902476,50,154.3067537682827,46845.21584274407,74.04512195121946,15179.249999999989,63,194.4265097480362,4.555555555555555,205,90,277.7521567829089,0.0,24143.868549835763,75.224375,7823.335,104,2.533333333333333,"{0: 0, 1: 27, 2: 0, 3: 52, 4: 10, 5: 1}","{0: 0.0, 1: 0.3, 2: 0.0, 3: 0.5777777777777777, 4: 0.1111111111111111, 5: 0.011111111111111112}"
3,1.0498239112984153,41,101.59183591331208,38393.71052084173,94.4803048780488,15494.770000000002,53,131.32603179037903,4.895522388059701,164,67,166.01592698029046,0.012195121951219513,19719.902066545375,95.88522891566264,7958.473999999999,83,2.6865671641791047,"{0: 0, 1: 14, 2: 0, 3: 46, 4: 7}","{0: 0.0, 1: 0.208955223880597, 2: 0.0, 3: 0.6865671641791045, 4: 0.1044776119402985}"
4,1.044837078425512,50,164.15570302047314,37442.11342935078,66.69269590643279,11404.451000000006,59,193.70372956415832,4.885714285714286,171,70,229.81798422866243,0.0,20109.848434926218,67.31028571428571,6125.236,91,2.8285714285714287,"{0: 0, 1: 11, 2: 0, 3: 49, 4: 10}","{0: 0.0, 1: 0.15714285714285714, 2: 0.0, 3: 0.7, 4: 0.14285714285714285}"
5,1.039993147133233,28,136.5673366608502,41240.57506041426,88.07743750000002,8455.434000000001,32,156.0769561838288,4.923076923076923,96,39,190.21879034904134,0.0,20620.287530207122,88.07743749999997,4227.716999999999,48,2.6923076923076925,"{0: 0, 1: 7, 2: 0, 3: 30, 4: 2}","{0: 0.0, 1: 0.1794871794871795, 2: 0.0, 3: 0.7692307692307693, 4: 0.05128205128205128}"
6,1.08136219040032,18,57.61550856203404,24106.335184078216,110.7529705882353,7531.202,21,67.21809332237305,4.0,68,34,108.82929395050874,0.0,13381.275483348902,116.12563888888889,4180.523,36,2.2941176470588234,"{0: 0, 1: 13, 2: 0, 3: 19, 4: 2}","{0: 0.0, 1: 0.38235294117647056, 2: 0.0, 3: 0.5588235294117647, 4: 0.058823529411764705}"
7,1.04690674156912,49,71.85484237602262,28289.6268483309,70.66504029304032,19291.556000000008,86,126.11258049669277,4.333333333333333,273,126,184.76959468120103,0.0,14882.701065502306,71.4715915492958,10148.966000000002,142,2.5396825396825395,"{0: 0, 1: 40, 2: 0, 3: 65, 4: 20, 5: 1}","{0: 0.0, 1: 0.31746031746031744, 2: 0.0, 3: 0.5158730158730159, 4: 0.15873015873015872, 5: 0.007936507936507936}"
8,1.0072297965128354,27,133.24987008306073,37466.97638683821,102.59209459459457,7591.814999999999,28,138.18505045650744,4.0,74,37,182.60167381752768,0.0,21358.399592497004,103.04250000000002,4327.785000000001,42,2.6216216216216215,"{0: 0, 1: 9, 2: 0, 3: 24, 4: 4}","{0: 0.0, 1: 0.24324324324324326, 2: 0.0, 3: 0.6486486486486487, 4: 0.10810810810810811}"
9,1.0420975180051735,29,190.01853871442677,53143.71656658368,53.0105751633987,8110.618,55,360.37998721701626,4.935483870967742,153,62,406.2465310446365,0.0,27097.718208275513,53.0200512820513,4135.564000000001,78,2.8870967741935485,"{0: 0, 1: 7, 2: 0, 3: 48, 4: 7}","{0: 0.0, 1: 0.11290322580645161, 2: 0.0, 3: 0.7741935483870968, 4: 0.11290322580645161}"
