Ward,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
103,3736,16730,8523,8207,1783,960,823,4252,2126,2126,150,72,78,12698,6721,5977,4032,1802,2230,6754,4682,2072,6136,4344,1792,29,23,6,43,40,3,216,112,104,5848,4169,1679,618,338,280,14,8,6,4,1,3,53,8,45,547,321,226,530,301,229,14,8,6,2,1,1,39,6,33,475,286,189,88,37,51,0,0,0,2,0,2,14,2,12,72,35,37,9976,3841,6135
104,5940,23399,11873,11526,2062,1104,958,3641,1810,1831,153,82,71,19087,9822,9265,4312,2051,2261,9787,6364,3423,9055,6006,3049,29,22,7,39,26,13,259,154,105,8728,5804,2924,732,358,374,23,10,13,13,6,7,59,21,38,637,321,316,646,318,328,23,10,13,9,5,4,51,20,31,563,283,280,86,40,46,0,0,0,4,1,3,8,1,7,74,38,36,13612,5509,8103
105,4680,17854,8556,9298,1129,574,555,424,198,226,80,37,43,15658,7553,8105,2196,1003,1193,6889,4444,2445,6515,4283,2232,18,9,9,28,16,12,128,77,51,6341,4181,2160,374,161,213,7,5,2,0,0,0,17,4,13,350,152,198,362,158,204,7,5,2,0,0,0,16,4,12,339,149,190,12,3,9,0,0,0,0,0,0,1,0,1,11,3,8,10965,4112,6853
106,5529,19993,9856,10137,1533,791,742,962,492,470,90,40,50,17255,8505,8750,2738,1351,1387,8465,5392,3073,7921,5136,2785,31,18,13,56,33,23,195,120,75,7639,4965,2674,544,256,288,14,6,8,16,10,6,50,14,36,464,226,238,489,236,253,13,6,7,12,7,5,34,11,23,430,212,218,55,20,35,1,0,1,4,3,1,16,3,13,34,14,20,11528,4464,7064
107,4772,18668,9537,9131,1742,904,838,1397,735,662,324,174,150,14636,7714,6922,4032,1823,2209,7908,5273,2635,7542,5063,2479,35,21,14,14,7,7,265,114,151,7228,4921,2307,366,210,156,14,12,2,3,1,2,22,8,14,327,189,138,328,186,142,14,12,2,3,1,2,20,7,13,291,166,125,38,24,14,0,0,0,0,0,0,2,1,1,36,23,13,10760,4264,6496
108,3485,12827,6441,6386,1258,664,594,1633,844,789,119,75,44,9751,4954,4797,3076,1487,1589,5562,3536,2026,5375,3444,1931,15,12,3,18,14,4,156,93,63,5186,3325,1861,187,92,95,8,6,2,2,0,2,17,10,7,160,76,84,154,78,76,8,6,2,2,0,2,13,8,5,131,64,67,33,14,19,0,0,0,0,0,0,4,2,2,29,12,17,7265,2905,4360
109,8936,35401,18565,16836,3998,2129,1869,2139,1134,1005,308,164,144,29002,15559,13443,6399,3006,3393,14390,10731,3659,13426,10204,3222,103,89,14,70,50,20,332,195,137,12921,9870,3051,964,527,437,33,15,18,20,9,11,55,13,42,856,490,366,560,308,252,27,13,14,9,5,4,25,4,21,499,286,213,404,219,185,6,2,4,11,4,7,30,9,21,357,204,153,21011,7834,13177
110,9933,38951,20877,18074,5252,2762,2490,2716,1421,1295,470,254,216,30096,16682,13414,8855,4195,4660,16224,12406,3818,14400,11388,3012,38,35,3,103,89,14,442,304,138,13817,10960,2857,1824,1018,806,21,9,12,46,42,4,105,38,67,1652,929,723,1720,961,759,21,9,12,46,42,4,88,35,53,1565,875,690,104,57,47,0,0,0,0,0,0,17,3,14,87,54,33,22727,8471,14256
111,6126,26155,14013,12142,3561,1893,1668,5535,2894,2641,790,391,399,18420,10545,7875,7735,3468,4267,10806,8134,2672,9597,7387,2210,31,23,8,72,46,26,233,145,88,9261,7173,2088,1209,747,462,10,4,6,29,15,14,156,77,79,1014,651,363,963,600,363,9,3,6,21,9,12,106,55,51,827,533,294,246,147,99,1,1,0,8,6,2,50,22,28,187,118,69,15349,5879,9470
112,5913,24492,12862,11630,2343,1244,1099,1257,646,611,283,141,142,20596,11036,9560,3896,1826,2070,9495,7405,2090,9191,7178,2013,26,21,5,21,14,7,213,128,85,8931,7015,1916,304,227,77,7,2,5,4,2,2,9,5,4,284,218,66,266,203,63,7,2,5,4,2,2,9,5,4,246,194,52,38,24,14,0,0,0,0,0,0,0,0,0,38,24,14,14997,5457,9540
