Ward,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
1,10452,44060,23099,20961,5686,2993,2693,8216,4202,4014,1551,822,729,34931,18862,16069,9129,4237,4892,16351,12928,3423,15010,12179,2831,77,64,13,109,86,23,405,274,131,14419,11755,2664,1341,749,592,19,10,9,29,19,10,175,33,142,1118,687,431,1224,692,532,18,9,9,29,19,10,158,32,126,1019,632,387,117,57,60,1,1,0,0,0,0,17,1,16,99,55,44,27709,10171,17538
2,5933,25430,13125,12305,3054,1591,1463,3887,1985,1902,250,135,115,19673,10456,9217,5757,2669,3088,9765,6942,2823,8719,6530,2189,35,26,9,69,59,10,217,154,63,8398,6291,2107,1046,412,634,22,12,10,28,16,12,29,7,22,967,377,590,828,355,473,20,12,8,27,15,12,24,5,19,757,323,434,218,57,161,2,0,2,1,1,0,5,2,3,210,54,156,15665,6183,9482
3,5487,22592,11528,11064,2487,1347,1140,4846,2444,2402,247,127,120,17822,9347,8475,4770,2181,2589,8618,6279,2339,7951,5915,2036,17,14,3,35,23,12,230,152,78,7669,5726,1943,667,364,303,24,17,7,6,2,4,30,6,24,607,339,268,608,326,282,22,15,7,6,2,4,24,4,20,556,305,251,59,38,21,2,2,0,0,0,0,6,2,4,51,34,17,13974,5249,8725
4,5906,24678,12830,11848,2586,1367,1219,3478,1744,1734,514,269,245,20472,10849,9623,4206,1981,2225,9434,7067,2367,8545,6521,2024,36,31,5,13,11,2,185,91,94,8311,6388,1923,889,546,343,23,14,9,8,3,5,66,18,48,792,511,281,826,511,315,23,14,9,7,3,4,60,13,47,736,481,255,63,35,28,0,0,0,1,0,1,6,5,1,56,30,26,15244,5763,9481
5,4242,18490,9378,9112,1972,1023,949,5611,2801,2810,247,123,124,14333,7512,6821,4157,1866,2291,6985,5001,1984,6507,4700,1807,13,9,4,11,10,1,98,52,46,6385,4629,1756,478,301,177,6,3,3,2,1,1,10,5,5,460,292,168,405,260,145,6,3,3,0,0,0,9,5,4,390,252,138,73,41,32,0,0,0,2,1,1,1,0,1,70,40,30,11505,4377,7128
6,5241,26134,15086,11048,2315,1217,1098,5419,2885,2534,563,376,187,20464,12316,8148,5670,2770,2900,8885,6972,1913,8581,6767,1814,56,44,12,48,44,4,235,181,54,8242,6498,1744,304,205,99,9,4,5,3,3,0,11,6,5,281,192,89,251,183,68,8,3,5,3,3,0,10,6,4,230,171,59,53,22,31,1,1,0,0,0,0,1,0,1,51,21,30,17249,8114,9135
7,8764,33810,17610,16200,3694,1865,1829,5560,2795,2765,276,148,128,26926,14337,12589,6884,3273,3611,13679,9923,3756,11892,8661,3231,106,83,23,58,39,19,444,309,135,11284,8230,3054,1787,1262,525,35,19,16,10,8,2,62,27,35,1680,1208,472,1433,986,447,35,19,16,9,7,2,45,21,24,1344,939,405,354,276,78,0,0,0,1,1,0,17,6,11,336,269,67,20131,7687,12444
8,9598,37947,20290,17657,4993,2645,2348,3732,1907,1825,271,146,125,29477,16249,13228,8470,4041,4429,15066,11653,3413,13788,10847,2941,125,92,33,100,72,28,376,244,132,13187,10439,2748,1278,806,472,48,28,20,7,2,5,48,20,28,1175,756,419,1104,678,426,47,27,20,4,1,3,44,17,27,1009,633,376,174,128,46,1,1,0,3,1,2,4,3,1,166,123,43,22881,8637,14244
9,5953,24332,13030,11302,3299,1788,1511,3269,1694,1575,364,201,163,18557,10238,8319,5775,2792,2983,9083,7264,1819,8439,6923,1516,83,61,22,26,19,7,234,131,103,8096,6712,1384,644,341,303,19,14,5,9,4,5,30,15,15,586,308,278,579,306,273,18,13,5,9,4,5,27,13,14,525,276,249,65,35,30,1,1,0,0,0,0,3,2,1,61,32,29,15249,5766,9483
10,5850,24433,12814,11619,2695,1433,1262,2482,1249,1233,128,69,59,19695,10563,9132,4738,2251,2487,9548,7100,2448,8744,6656,2088,45,35,10,36,33,3,450,150,300,8213,6438,1775,804,444,360,14,5,9,3,2,1,23,9,14,764,428,336,711,383,328,14,5,9,1,1,0,22,9,13,674,368,306,93,61,32,0,0,0,2,1,1,1,0,1,90,60,30,14885,5714,9171
11,7831,32731,17179,15552,4217,2216,2001,4179,2132,2047,423,216,207,25917,13948,11969,6814,3231,3583,12363,9583,2780,11582,9127,2455,39,30,9,60,40,20,451,305,146,11032,8752,2280,781,456,325,19,10,9,16,8,8,35,18,17,711,420,291,698,410,288,19,10,9,16,8,8,33,17,16,630,375,255,83,46,37,0,0,0,0,0,0,2,1,1,81,45,36,20368,7596,12772
12,6250,25865,13587,12278,2666,1409,1257,2074,1047,1027,270,145,125,21213,11296,9917,4652,2291,2361,10307,7781,2526,9634,7439,2195,37,31,6,35,31,4,273,196,77,9289,7181,2108,673,342,331,26,16,10,6,4,2,46,25,21,595,297,298,604,298,306,23,14,9,6,4,2,35,17,18,540,263,277,69,44,25,3,2,1,0,0,0,11,8,3,55,34,21,15558,5806,9752
13,6493,25272,13101,12171,2491,1320,1171,1591,804,787,100,56,44,21213,11044,10169,4059,2057,2002,9878,7091,2787,9295,6782,2513,72,60,12,70,52,18,242,146,96,8911,6524,2387,583,309,274,20,10,10,7,1,6,62,18,44,494,280,214,497,262,235,17,9,8,5,0,5,37,11,26,438,242,196,86,47,39,3,1,2,2,1,1,25,7,18,56,38,18,15394,6010,9384
14,4361,18483,9390,9093,1803,947,856,4025,2006,2019,233,134,99,15304,7991,7313,3179,1399,1780,7048,5112,1936,6684,4901,1783,12,8,4,17,16,1,85,44,41,6570,4833,1737,364,211,153,11,4,7,1,1,0,14,4,10,338,202,136,323,190,133,11,4,7,1,1,0,10,2,8,301,183,118,41,21,20,0,0,0,0,0,0,4,2,2,37,19,18,11435,4278,7157
15,3944,16691,8449,8242,1639,872,767,4036,1987,2049,197,99,98,14180,7366,6814,2511,1083,1428,5846,4437,1409,5454,4217,1237,13,8,5,11,6,5,114,75,39,5316,4128,1188,392,220,172,5,3,2,1,1,0,18,4,14,368,212,156,327,184,143,5,3,2,1,1,0,13,3,10,308,177,131,65,36,29,0,0,0,0,0,0,5,1,4,60,35,25,10845,4012,6833
16,3382,15724,8044,7680,1586,834,752,4036,1973,2063,373,183,190,12408,6534,5874,3316,1510,1806,5809,3890,1919,5434,3700,1734,12,7,5,6,2,4,82,47,35,5334,3644,1690,375,190,185,14,8,6,6,2,4,17,10,7,338,170,168,337,165,172,14,8,6,5,2,3,17,10,7,301,145,156,38,25,13,0,0,0,1,0,1,0,0,0,37,25,12,9915,4154,5761
17,3330,15990,7986,8004,1709,883,826,3652,1760,1892,138,68,70,12573,6507,6066,3417,1479,1938,5764,4235,1529,5144,3891,1253,17,8,9,17,13,4,386,252,134,4724,3618,1106,620,344,276,26,9,17,3,2,1,46,23,23,545,310,235,545,295,250,25,9,16,3,2,1,32,15,17,485,269,216,75,49,26,1,0,1,0,0,0,14,8,6,60,41,19,10226,3751,6475
18,3183,14960,7506,7454,1709,910,799,4466,2218,2248,68,39,29,11144,5849,5295,3816,1657,2159,5309,3912,1397,4734,3525,1209,18,14,4,18,9,9,72,45,27,4626,3457,1169,575,387,188,9,2,7,1,0,1,17,8,9,548,377,171,489,331,158,9,2,7,1,0,1,11,5,6,468,324,144,86,56,30,0,0,0,0,0,0,6,3,3,80,53,27,9651,3594,6057
19,3607,17702,8969,8733,2251,1155,1096,3618,1808,1810,113,60,53,12933,6908,6025,4769,2061,2708,6225,4675,1550,5784,4393,1391,15,12,3,17,13,4,194,101,93,5558,4267,1291,441,282,159,6,3,3,3,2,1,23,9,14,409,268,141,314,202,112,6,3,3,3,2,1,20,7,13,285,190,95,127,80,47,0,0,0,0,0,0,3,2,1,124,78,46,11477,4294,7183
20,3780,18332,9333,8999,2411,1212,1199,6187,3071,3116,144,77,67,13195,7162,6033,5137,2171,2966,6600,4880,1720,6011,4577,1434,16,10,6,81,62,19,363,200,163,5551,4305,1246,589,303,286,6,2,4,18,9,9,38,17,21,527,275,252,420,243,177,6,2,4,17,9,8,33,14,19,364,218,146,169,60,109,0,0,0,1,0,1,5,3,2,163,57,106,11732,4453,7279
21,3878,17865,9299,8566,2074,1079,995,3225,1607,1618,304,158,146,13723,7549,6174,4142,1750,2392,6280,5014,1266,5856,4823,1033,34,32,2,91,63,28,181,131,50,5550,4597,953,424,191,233,8,5,3,20,8,12,20,4,16,376,174,202,246,146,100,8,5,3,19,8,11,11,2,9,208,131,77,178,45,133,0,0,0,1,0,1,9,2,7,168,43,125,11585,4285,7300
22,3837,18071,9129,8942,1999,1026,973,5011,2532,2479,225,111,114,13348,7132,6216,4723,1997,2726,6590,4774,1816,6099,4484,1615,16,10,6,21,14,7,210,134,76,5852,4326,1526,491,290,201,11,7,4,7,4,3,32,12,20,441,267,174,274,154,120,11,7,4,5,3,2,10,3,7,248,141,107,217,136,81,0,0,0,2,1,1,22,9,13,193,126,67,11481,4355,7126
23,3631,15744,7666,8078,1296,693,603,1698,839,859,608,284,324,12976,6490,6486,2768,1176,1592,6002,4162,1840,5766,4050,1716,15,12,3,26,12,14,142,61,81,5583,3965,1618,236,112,124,18,6,12,3,1,2,22,6,16,193,99,94,197,98,99,18,6,12,2,1,1,15,6,9,162,85,77,39,14,25,0,0,0,1,0,1,7,0,7,31,14,17,9742,3504,6238
24,4283,17876,8926,8950,1720,892,828,3466,1667,1799,188,88,100,14917,7572,7345,2959,1354,1605,6750,4746,2004,6362,4517,1845,21,15,6,53,34,19,150,81,69,6138,4387,1751,388,229,159,14,6,8,2,1,1,25,10,15,347,212,135,333,194,139,14,6,8,2,1,1,22,9,13,295,178,117,55,35,20,0,0,0,0,0,0,3,1,2,52,34,18,11126,4180,6946
25,3563,15834,7905,7929,1637,831,806,3748,1828,1920,226,110,116,12705,6639,6066,3129,1266,1863,5783,4284,1499,5544,4135,1409,8,4,4,12,6,6,315,139,176,5209,3986,1223,239,149,90,4,1,3,0,0,0,11,5,6,224,143,81,194,118,76,4,1,3,0,0,0,5,0,5,185,117,68,45,31,14,0,0,0,0,0,0,6,5,1,39,26,13,10051,3621,6430
26,3868,16240,8141,8099,1539,770,769,4529,2237,2292,282,138,144,13454,6968,6486,2786,1173,1613,6317,4363,1954,5859,4092,1767,35,17,18,29,12,17,141,76,65,5654,3987,1667,458,271,187,13,8,5,1,0,1,14,7,7,430,256,174,410,242,168,13,8,5,1,0,1,10,4,6,386,230,156,48,29,19,0,0,0,0,0,0,4,3,1,44,26,18,9923,3778,6145
27,4555,17766,8934,8832,1745,918,827,2016,1029,987,359,187,172,14843,7607,7236,2923,1327,1596,7757,5103,2654,7034,4811,2223,93,58,35,44,28,16,283,164,119,6614,4561,2053,723,292,431,19,9,10,6,2,4,43,13,30,655,268,387,666,274,392,18,8,10,5,2,3,29,9,20,614,255,359,57,18,39,1,1,0,1,0,1,14,4,10,41,13,28,10009,3831,6178
28,8142,31972,16781,15191,3995,2051,1944,2791,1415,1376,294,157,137,24888,13529,11359,7084,3252,3832,13195,9460,3735,12425,9050,3375,196,156,40,56,40,16,222,129,93,11951,8725,3226,770,410,360,27,9,18,9,3,6,22,5,17,712,393,319,710,379,331,24,8,16,9,3,6,17,3,14,660,365,295,60,31,29,3,1,2,0,0,0,5,2,3,52,28,24,18777,7321,11456
29,6120,23994,12422,11572,3002,1551,1451,2198,1137,1061,984,498,486,18960,10120,8840,5034,2302,2732,10043,7226,2817,8994,6682,2312,65,46,19,70,49,21,206,117,89,8653,6470,2183,1049,544,505,13,4,9,16,8,8,96,20,76,924,512,412,900,465,435,13,4,9,15,8,7,48,6,42,824,447,377,149,79,70,0,0,0,1,0,1,48,14,34,100,65,35,13951,5196,8755
30,6017,24574,12618,11956,3195,1656,1539,3542,1802,1740,426,222,204,17970,9585,8385,6604,3033,3571,9940,7062,2878,9177,6605,2572,51,37,14,23,14,9,181,118,63,8922,6436,2486,763,457,306,19,9,10,3,2,1,21,11,10,720,435,285,694,423,271,18,8,10,3,2,1,15,10,5,658,403,255,69,34,35,1,1,0,0,0,0,6,1,5,62,32,30,14634,5556,9078
31,4158,15205,7573,7632,1121,572,549,967,501,466,57,30,27,13462,6748,6714,1743,825,918,6229,4213,2016,6041,4126,1915,20,14,6,25,16,9,126,76,50,5870,4020,1850,188,87,101,3,1,2,2,0,2,6,1,5,177,85,92,167,74,93,3,1,2,1,0,1,5,1,4,158,72,86,21,13,8,0,0,0,1,0,1,1,0,1,19,13,6,8976,3360,5616
32,4326,17663,8972,8691,1567,808,759,4653,2321,2332,533,283,250,14724,7726,6998,2939,1246,1693,6977,4896,2081,6747,4758,1989,12,8,4,14,6,8,129,65,64,6592,4679,1913,230,138,92,4,0,4,2,2,0,5,3,2,219,133,86,205,122,83,4,0,4,2,2,0,4,2,2,195,118,77,25,16,9,0,0,0,0,0,0,1,1,0,24,15,9,10686,4076,6610
33,4482,20138,10242,9896,2072,1056,1016,2268,1130,1138,277,135,142,15712,8443,7269,4426,1799,2627,7945,5693,2252,7308,5210,2098,24,13,11,31,25,6,297,166,131,6956,5006,1950,637,483,154,8,3,5,1,0,1,16,7,9,612,473,139,450,318,132,8,3,5,1,0,1,8,5,3,433,310,123,187,165,22,0,0,0,0,0,0,8,2,6,179,163,16,12193,4549,7644
34,3541,14892,7386,7506,931,514,417,1650,838,812,117,66,51,13334,6641,6693,1558,745,813,5243,3653,1590,5069,3561,1508,18,16,2,7,5,2,159,88,71,4885,3452,1433,174,92,82,3,2,1,0,0,0,1,1,0,170,89,81,149,76,73,2,1,1,0,0,0,0,0,0,147,75,72,25,16,9,1,1,0,0,0,0,1,1,0,23,14,9,9649,3733,5916
35,3477,14669,7534,7135,1024,593,431,938,530,408,237,141,96,13002,6748,6254,1667,786,881,5257,3707,1550,4680,3463,1217,31,24,7,17,14,3,309,221,88,4323,3204,1119,577,244,333,9,6,3,2,1,1,21,8,13,545,229,316,538,223,315,8,5,3,2,1,1,16,6,10,512,211,301,39,21,18,1,1,0,0,0,0,5,2,3,33,18,15,9412,3827,5585
36,2574,12603,6356,6247,1071,543,528,2251,1124,1127,151,78,73,9729,5163,4566,2874,1193,1681,4096,2759,1337,3413,2438,975,21,14,7,14,10,4,137,82,55,3241,2332,909,683,321,362,18,15,3,1,1,0,11,5,6,653,300,353,599,276,323,18,15,3,1,1,0,7,4,3,573,256,317,84,45,39,0,0,0,0,0,0,4,1,3,80,44,36,8507,3597,4910
37,3395,15380,7994,7386,1751,918,833,5398,2718,2680,350,188,162,11391,6276,5115,3989,1718,2271,5924,4299,1625,5349,3967,1382,16,10,6,30,11,19,121,67,54,5182,3879,1303,575,332,243,14,8,6,5,0,5,20,4,16,536,320,216,467,268,199,14,8,6,4,0,4,13,2,11,436,258,178,108,64,44,0,0,0,1,0,1,7,2,5,100,62,38,9456,3695,5761
38,3219,14096,7068,7028,1289,670,619,4740,2362,2378,223,110,113,10696,5620,5076,3400,1448,1952,5399,3790,1609,4761,3392,1369,5,3,2,20,16,4,125,79,46,4611,3294,1317,638,398,240,11,7,4,4,2,2,5,4,1,618,385,233,579,360,219,11,7,4,4,2,2,3,2,1,561,349,212,59,38,21,0,0,0,0,0,0,2,2,0,57,36,21,8697,3278,5419
39,3361,14447,7231,7216,1322,693,629,2883,1420,1463,251,141,110,11595,5954,5641,2852,1277,1575,5271,3893,1378,4961,3694,1267,5,5,0,13,9,4,110,67,43,4833,3613,1220,310,199,111,10,6,4,3,2,1,15,4,11,282,187,95,266,167,99,10,6,4,1,1,0,7,1,6,248,159,89,44,32,12,0,0,0,2,1,1,8,3,5,34,28,6,9176,3338,5838
40,3611,14685,7446,7239,1370,701,669,2894,1468,1426,210,134,76,11341,5913,5428,3344,1533,1811,5807,4102,1705,5446,3892,1554,19,16,3,12,7,5,139,63,76,5276,3806,1470,361,210,151,21,10,11,6,4,2,17,5,12,317,191,126,320,187,133,21,10,11,6,4,2,13,3,10,280,170,110,41,23,18,0,0,0,0,0,0,4,2,2,37,21,16,8878,3344,5534
41,4483,19153,9924,9229,2316,1184,1132,2316,1162,1154,228,120,108,14664,7955,6709,4489,1969,2520,7764,5643,2121,7187,5309,1878,93,64,29,114,58,56,269,150,119,6711,5037,1674,577,334,243,27,13,14,24,9,15,31,8,23,495,304,191,525,303,222,27,13,14,21,8,13,23,6,17,454,276,178,52,31,21,0,0,0,3,1,2,8,2,6,41,28,13,11389,4281,7108
42,11017,40932,21668,19264,5136,2698,2438,3539,1833,1706,454,237,217,32053,17207,14846,8879,4461,4418,18793,13478,5315,17846,12933,4913,122,101,21,166,108,58,294,204,90,17264,12520,4744,947,545,402,43,24,19,7,4,3,27,13,14,870,504,366,851,490,361,41,23,18,7,4,3,20,8,12,783,455,328,96,55,41,2,1,1,0,0,0,7,5,2,87,49,38,22139,8190,13949
43,6787,29733,15435,14298,4228,2170,2058,6898,3503,3395,398,204,194,20265,11355,8910,9468,4080,5388,11538,8582,2956,10828,8177,2651,47,30,17,237,147,90,493,316,177,10051,7684,2367,710,405,305,15,6,9,55,6,49,41,11,30,599,382,217,610,354,256,15,6,9,55,6,49,31,9,22,509,333,176,100,51,49,0,0,0,0,0,0,10,2,8,90,49,41,18195,6853,11342
44,6437,27453,14289,13164,3176,1649,1527,5893,2933,2960,289,158,131,21450,11616,9834,6003,2673,3330,10538,8051,2487,9908,7710,2198,44,37,7,42,27,15,173,122,51,9649,7524,2125,630,341,289,7,2,5,7,2,5,25,9,16,591,328,263,504,280,224,7,2,5,5,2,3,18,6,12,474,270,204,126,61,65,0,0,0,2,0,2,7,3,4,117,58,59,16915,6238,10677
45,7107,30023,15526,14497,3213,1722,1491,5752,2866,2886,246,130,116,23933,12922,11011,6090,2604,3486,11471,8661,2810,10665,8266,2399,44,40,4,58,41,17,254,170,84,10309,8015,2294,806,395,411,21,9,12,6,0,6,37,14,23,742,372,370,689,322,367,20,9,11,4,0,4,26,10,16,639,303,336,117,73,44,1,0,1,2,0,2,11,4,7,103,69,34,18552,6865,11687
46,3194,14736,7418,7318,1034,536,498,1888,959,929,186,111,75,13011,6634,6377,1725,784,941,5427,3782,1645,5170,3620,1550,12,9,3,21,17,4,177,129,48,4960,3465,1495,257,162,95,6,3,3,0,0,0,15,5,10,236,154,82,180,101,79,6,3,3,0,0,0,8,3,5,166,95,71,77,61,16,0,0,0,0,0,0,7,2,5,70,59,11,9309,3636,5673
47,3005,14192,7077,7115,1391,703,688,2290,1137,1153,247,120,127,11580,5994,5586,2612,1083,1529,5044,3811,1233,4791,3673,1118,10,5,5,6,1,5,230,152,78,4545,3515,1030,253,138,115,8,5,3,0,0,0,23,11,12,222,122,100,204,111,93,8,5,3,0,0,0,16,8,8,180,98,82,49,27,22,0,0,0,0,0,0,7,3,4,42,24,18,9148,3266,5882
48,3750,16440,8222,8218,1501,804,697,1821,886,935,146,66,80,13880,7106,6774,2560,1116,1444,5880,4391,1489,5621,4239,1382,24,19,5,17,13,4,298,175,123,5282,4032,1250,259,152,107,5,2,3,1,0,1,13,4,9,240,146,94,215,122,93,5,2,3,1,0,1,9,2,7,200,118,82,44,30,14,0,0,0,0,0,0,4,2,2,40,28,12,10560,3831,6729
49,3833,18701,9786,8915,2076,1054,1022,4612,2312,2300,148,72,76,13792,7637,6155,4909,2149,2760,7149,5577,1572,6868,5419,1449,14,11,3,12,8,4,358,201,157,6484,5199,1285,281,158,123,4,0,4,6,2,4,31,18,13,240,138,102,212,117,95,4,0,4,6,2,4,22,9,13,180,106,74,69,41,28,0,0,0,0,0,0,9,9,0,60,32,28,11552,4209,7343
50,3848,15943,7943,8000,1199,600,599,179,92,87,127,60,67,13838,6956,6882,2105,987,1118,6103,4385,1718,5774,4198,1576,13,11,2,17,13,4,232,125,107,5512,4049,1463,329,187,142,10,4,6,3,0,3,26,7,19,290,176,114,309,174,135,9,4,5,3,0,3,25,7,18,272,163,109,20,13,7,1,0,1,0,0,0,1,0,1,18,13,5,9840,3558,6282
51,3780,13824,6772,7052,834,438,396,118,54,64,31,13,18,12475,6096,6379,1349,676,673,5428,3643,1785,5211,3539,1672,24,16,8,17,13,4,271,160,111,4899,3350,1549,217,104,113,13,6,7,3,0,3,19,2,17,182,96,86,189,92,97,12,5,7,3,0,3,13,1,12,161,86,75,28,12,16,1,1,0,0,0,0,6,1,5,21,10,11,8396,3129,5267
52,3232,12273,6057,6216,720,360,360,122,65,57,305,160,145,10833,5366,5467,1440,691,749,4741,3212,1529,4567,3126,1441,11,8,3,4,3,1,142,73,69,4410,3042,1368,174,86,88,0,0,0,1,0,1,6,4,2,167,82,85,149,71,78,0,0,0,1,0,1,6,4,2,142,67,75,25,15,10,0,0,0,0,0,0,0,0,0,25,15,10,7532,2845,4687
53,3531,16120,8238,7882,1228,660,568,3003,1470,1533,219,105,114,13714,7267,6447,2406,971,1435,6287,4053,2234,5160,3490,1670,28,17,11,20,11,9,261,149,112,4851,3313,1538,1127,563,564,21,11,10,9,6,3,26,12,14,1071,534,537,1065,526,539,21,11,10,7,4,3,23,10,13,1014,501,513,62,37,25,0,0,0,2,2,0,3,2,1,57,33,24,9833,4185,5648
54,3681,16690,8393,8297,1931,990,941,1809,933,876,117,65,52,11608,6435,5173,5082,1958,3124,7157,4812,2345,6890,4669,2221,5,3,2,15,12,3,72,41,31,6798,4613,2185,267,143,124,3,2,1,2,1,1,7,2,5,255,138,117,250,133,117,3,2,1,2,1,1,7,2,5,238,128,110,17,10,7,0,0,0,0,0,0,0,0,0,17,10,7,9533,3581,5952
55,3084,14614,7276,7338,1486,764,722,1750,848,902,143,75,68,11197,5943,5254,3417,1333,2084,5611,3988,1623,5445,3909,1536,18,7,11,7,5,2,150,85,65,5270,3812,1458,166,79,87,9,5,4,1,0,1,10,4,6,146,70,76,154,71,83,9,5,4,1,0,1,9,3,6,135,63,72,12,8,4,0,0,0,0,0,0,1,1,0,11,7,4,9003,3288,5715
56,3910,15228,7453,7775,903,451,452,658,328,330,83,44,39,13565,6701,6864,1663,752,911,5805,3826,1979,5663,3765,1898,17,12,5,8,4,4,144,68,76,5494,3681,1813,142,61,81,2,1,1,0,0,0,9,2,7,131,58,73,122,51,71,1,1,0,0,0,0,8,2,6,113,48,65,20,10,10,1,0,1,0,0,0,1,0,1,18,10,8,9423,3627,5796
57,4298,18064,9316,8748,1869,985,884,1845,939,906,169,90,79,13458,7358,6100,4606,1958,2648,8009,5230,2779,7772,5104,2668,21,15,6,20,11,9,197,108,89,7534,4970,2564,237,126,111,6,2,4,0,0,0,10,1,9,221,123,98,185,96,89,6,2,4,0,0,0,6,0,6,173,94,79,52,30,22,0,0,0,0,0,0,4,1,3,48,29,19,10055,4086,5969
58,5282,20244,10557,9687,1500,797,703,951,498,453,81,45,36,17496,9260,8236,2748,1297,1451,8178,5606,2572,7690,5339,2351,50,41,9,115,90,25,196,120,76,7329,5088,2241,488,267,221,23,15,8,34,19,15,33,22,11,398,211,187,419,224,195,22,14,8,28,17,11,28,19,9,341,174,167,69,43,26,1,1,0,6,2,4,5,3,2,57,37,20,12066,4951,7115
59,7185,29109,15287,13822,4008,2050,1958,2471,1266,1205,280,144,136,21185,11775,9410,7924,3512,4412,12729,8726,4003,12196,8453,3743,39,30,9,64,40,24,223,80,143,11870,8303,3567,533,273,260,9,3,6,2,1,1,9,2,7,513,267,246,449,231,218,9,3,6,2,1,1,7,1,6,431,226,205,84,42,42,0,0,0,0,0,0,2,1,1,82,41,41,16380,6561,9819
60,5167,19342,9796,9546,1833,943,890,1820,917,903,97,55,42,15319,7864,7455,4023,1932,2091,8219,5349,2870,7794,5142,2652,19,14,5,53,36,17,181,88,93,7541,5004,2537,425,207,218,9,3,6,4,1,3,15,5,10,397,198,199,367,177,190,9,3,6,2,1,1,8,2,6,348,171,177,58,30,28,0,0,0,2,0,2,7,3,4,49,27,22,11123,4447,6676
61,10204,37509,19755,17754,3820,1950,1870,1696,886,810,317,182,135,31070,16513,14557,6439,3242,3197,15997,11194,4803,15510,10941,4569,42,37,5,88,60,28,276,170,106,15104,10674,4430,487,253,234,13,10,3,4,2,2,8,3,5,462,238,224,401,202,199,13,10,3,3,2,1,6,3,3,379,187,192,86,51,35,0,0,0,1,0,1,2,0,2,83,51,32,21512,8561,12951
62,8825,33045,17007,16038,3075,1630,1445,1765,925,840,184,103,81,27804,14427,13377,5241,2580,2661,14011,9621,4390,13275,9255,4020,39,27,12,75,48,27,210,111,99,12951,9069,3882,736,366,370,17,8,9,5,3,2,13,4,9,701,351,350,696,342,354,17,8,9,5,3,2,11,2,9,663,329,334,40,24,16,0,0,0,0,0,0,2,2,0,38,22,16,19034,7386,11648
63,4564,18796,9753,9043,1794,962,832,1754,912,842,147,80,67,15411,8230,7181,3385,1523,1862,7487,5442,2045,6973,5162,1811,36,27,9,18,12,6,110,56,54,6809,5067,1742,514,280,234,13,8,5,5,4,1,18,8,10,478,260,218,439,246,193,12,7,5,4,4,0,14,8,6,409,227,182,75,34,41,1,1,0,1,0,1,4,0,4,69,33,36,11309,4311,6998
64,5277,20022,10279,9743,1597,876,721,970,510,460,312,155,157,17162,8891,8271,2860,1388,1472,8041,5631,2410,7693,5441,2252,42,37,5,22,14,8,273,150,123,7356,5240,2116,348,190,158,8,3,5,2,1,1,38,7,31,300,179,121,293,154,139,8,3,5,2,1,1,38,7,31,245,143,102,55,36,19,0,0,0,0,0,0,0,0,0,55,36,19,11981,4648,7333
65,3678,13200,6585,6615,725,371,354,837,436,401,25,16,9,11776,5866,5910,1424,719,705,5243,3420,1823,5040,3315,1725,10,9,1,10,6,4,65,30,35,4955,3270,1685,203,105,98,11,9,2,2,1,1,5,2,3,185,93,92,190,96,94,11,9,2,2,1,1,5,2,3,172,84,88,13,9,4,0,0,0,0,0,0,0,0,0,13,9,4,7957,3165,4792
66,4542,17087,8459,8628,1200,612,588,647,319,328,96,55,41,14713,7278,7435,2374,1181,1193,7152,4628,2524,6934,4519,2415,17,12,5,5,5,0,204,91,113,6708,4411,2297,218,109,109,10,5,5,0,0,0,14,6,8,194,98,96,187,94,93,9,5,4,0,0,0,13,6,7,165,83,82,31,15,16,1,0,1,0,0,0,1,0,1,29,15,14,9935,3831,6104
